candidate,risk_per_trade,leverage_vs_vt10,ann_vol,hist_m_mean,hist_m_median,hist_m_min,hist_mdd,hist_total,mc_monthly_median,mc_mdd_median,mc_mdd_p95,p_dd10,p_dd20,p_dd30,p_dd50,p_dd70,p_ruin,p_loss_year
C4_CARRY_FX,0.01,0.7910578435367216,0.07910578435367216,0.0007312970692014369,0.0027473198437995006,-0.04987313822456674,0.09657387281864649,0.0032173800119270624,0.0002951940823101573,0.08498405126627429,0.16326469829300685,0.35216,0.01088,2e-05,0.0,0.0,0.0,0.48262
C4_CARRY_FX,0.015,1.1865867653050823,0.11865867653050824,0.0012300960848135034,0.0040128851793255205,-0.07413626257953276,0.14190806258235578,0.0026668692922020565,0.000243906911103986,0.125544549392259,0.23597155270717077,0.70438,0.12278,0.00658,0.0,0.0,0.0,0.4907
C4_CARRY_FX,0.02,1.5821156870734432,0.15821156870734432,0.0018173248464257365,0.005206235553378846,-0.09795507408340343,0.1853506512148938,0.0006783544388293539,6.181479438804871e-05,0.164814066047399,0.30324105229924453,0.8937,0.31968,0.05344,2e-05,0.0,0.0,0.49812
C4_CARRY_FX,0.03,2.3731735306101647,0.23731735306101648,0.003255885581041426,0.007375902180397631,-0.1442742304450979,0.26678901439701386,-0.007572367314995887,-0.0006942771238068746,0.23966674116635617,0.4223948902575298,0.99236,0.6742,0.28198,0.00982,0.0,0.0,0.5136
C4_CARRY_FX,0.05,3.955289217683608,0.39552892176836085,0.007179561122852078,0.010844993958296856,-0.2317444774924181,0.4094412538047174,-0.040560600818169035,-0.003761080526918259,0.37507910707721276,0.6090595747814169,0.99996,0.96272,0.72732,0.19264,0.0086,0.0,0.5438
C4_CARRY_FX,0.075,5.932933826525411,0.5932933826525412,0.014010915973267474,0.013546185029521984,-0.3317217202918431,0.5542557986562423,-0.1095934370235937,-0.010562949415371392,0.5188670611860775,0.7667579548533657,1.0,0.99834,0.9524,0.54642,0.1272,0.00046,0.58048
C4_CARRY_FX,0.1,7.910578435367216,0.7910578435367217,0.022921625180696837,0.014430731290916876,-0.42179304265222783,0.6676781539770316,-0.20305002218178048,-0.020473667421119335,0.6370886269041334,0.8653900857138583,1.0,0.99994,0.99442,0.79394,0.35578,0.01236,0.61678
C5_TREND_FUT_LONGONLY,0.001,0.06557503046557385,0.006557503046557386,0.0003754760235471701,5.08142882122975e-05,-0.001673287144471236,0.006622441589135608,0.0041222398578113495,0.0003687412307198379,0.005825733197949046,0.011241246760075083,0.0,0.0,0.0,0.0,0.0,0.0,0.25022
C5_TREND_FUT_LONGONLY,0.0025,0.16393757616393462,0.016393757616393462,0.0009344746558895026,0.00012006282858756379,-0.004179708614475031,0.01648266420696043,0.010228415337825147,0.0009122250110835672,0.014533380000597063,0.02794370482051521,0.0,0.0,0.0,0.0,0.0,0.0,0.2526
C5_TREND_FUT_LONGONLY,0.005,0.32787515232786923,0.032787515232786925,0.0018548119997900251,0.00021687957544203051,-0.00834772348534396,0.03272221618417914,0.020194232263385903,0.0017930321481014477,0.028959433438043414,0.05532745078377291,8e-05,0.0,0.0,0.0,0.0,0.0,0.25684
C5_TREND_FUT_LONGONLY,0.0075,0.49181272849180385,0.04918127284918039,0.0027608498740434684,0.00029044513066645017,-0.01250405170956681,0.04872179674477661,0.029887588717763203,0.002642155186519224,0.04329417488307691,0.08215342104876956,0.01288,0.0,0.0,0.0,0.0,0.0,0.26046
C5_TREND_FUT_LONGONLY,0.01,0.6557503046557385,0.06557503046557385,0.003652424619194915,0.00034075549107237535,-0.016648700498115843,0.06448451260845212,0.03929879968053984,0.003457004707377198,0.05751205881563909,0.1084299458210302,0.07654,6e-05,0.0,0.0,0.0,0.0,0.26466
C5_TREND_FUT_LONGONLY,0.015,0.9836254569836077,0.09836254569836078,0.005391522448963197,0.0003716001562350524,-0.02490298917919187,0.09531160834407393,0.05723701958938654,0.004985648116289543,0.08564462755666619,0.1594077972119305,0.34198,0.0087,2e-05,0.0,0.0,0.0,0.27238
C5_TREND_FUT_LONGONLY,0.02,1.311500609311477,0.1311500609311477,0.0070707653774199075,0.0003094037292747931,-0.03311064947808451,0.12522768594520317,0.07393551534485132,0.0063988039403275465,0.11336224195050015,0.20830028344327042,0.63842,0.0624,0.00164,0.0,0.0,0.0,0.28004
C5_TREND_FUT_LONGONLY,0.03,1.9672509139672154,0.19672509139672156,0.010244198544648723,-9.40627963603724e-05,-0.0493863336775785,0.1824208877723691,0.1033391180344041,0.008808977368290893,0.16750432581889968,0.2995627824829921,0.94714,0.31212,0.04952,6e-05,0.0,0.0,0.29672
C5_TREND_FUT_LONGONLY,0.05,3.2787515232786926,0.3278751523278693,0.015810942696198104,-0.002015943664136599,-0.08138099639938234,0.2868816223467553,0.144512614149235,0.012073162558736028,0.2706898405480959,0.45856723092099366,0.9997,0.82356,0.38064,0.02338,2e-05,0.0,0.3322
C5_TREND_FUT_LONGONLY,0.075,4.918127284918039,0.4918127284918039,0.021182016946741176,-0.006500421055949057,-0.12033634895361833,0.40058287377531876,0.15940882707370863,0.01311146721361367,0.3896664888480772,0.6182574033240767,1.0,0.98806,0.80156,0.20722,0.01026,0.0,0.37506
C5_TREND_FUT_LONGONLY,0.1,6.557503046557385,0.6557503046557386,0.024598860200528018,-0.01327811811816515,-0.1644498707805615,0.49869709354949754,0.13174501561252527,0.010849577796121057,0.4972795882128109,0.7388127802407082,1.0,0.99956,0.96384,0.49268,0.08634,0.00014,0.42242
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.001,0.07478829123087923,0.007478829123087923,0.0007871019199293548,-3.4714425477866406e-05,-0.0012294742258741609,0.004276366763384165,0.007094113455389017,0.0008502790646307545,0.005031259766142326,0.009426774285915878,0.0,0.0,0.0,0.0,0.0,0.0,0.08564
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.0025,0.18697072807719806,0.018697072807719806,0.0019649942197083664,-8.750745384611402e-05,-0.0030754591028838707,0.010670772896997693,0.01774817348129476,0.0021174674652726377,0.012549239473195029,0.023441903179266924,0.0,0.0,0.0,0.0,0.0,0.0,0.08646
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.005,0.3739414561543961,0.03739414561543961,0.003920602555721773,-0.00017741942326765514,-0.006156779975348248,0.021274319328318025,0.035534946350195495,0.004208884897277665,0.025004520229591987,0.04648566103211915,0.0,0.0,0.0,0.0,0.0,0.0,0.08786
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.0075,0.5609121842315942,0.05609121842315942,0.005866479440819651,-0.0002697356775849258,-0.009243868880309813,0.03181049513679457,0.053352025796600255,0.006271453263376525,0.037365390227832584,0.06910820669416101,0.00318,0.0,0.0,0.0,0.0,0.0,0.08948
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.01,0.7478829123087922,0.07478829123087923,0.007802278354363102,-0.000364455972357014,-0.012336632173194362,0.04227916442369306,0.07119096092639232,0.008306275285285825,0.049618614229719415,0.09141967337339835,0.02914,0.0,0.0,0.0,0.0,0.0,0.09114
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.015,1.1218243684631883,0.11218243684631884,0.0116422519520494,-0.0005611076367081358,-0.01853880782541084,0.06301348078829194,0.10689983631173305,0.012290918982613253,0.07385134844059921,0.13471146825429978,0.20014,0.0019,0.0,0.0,0.0,0.0,0.0943
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.02,1.4957658246175844,0.14957658246175845,0.015437735521524942,-0.0007673721856070737,-0.02476255974205488,0.08347634422394712,0.1425910115251845,0.016164907265903805,0.09769468195075853,0.1763920760577065,0.47398,0.02142,0.00022,0.0,0.0,0.0,0.0971
