rank,strategy_id,family,instruments,annual_return,avg_monthly_return,max_drawdown,min_monthly_return,sharpe,profitable_month_ratio,walk_forward_result,holdout_result,evidence
315,LIB_197,P_XS_MOM,EQ,-0.14967907134801497,-0.012374261850861027,0.237751117138032,-0.061878210166469216,-0.9093489516381406,0.16666666666666666,(in-sample конфигурация) 2026-01..06: -1.9%,2026-07..09: -7.0%,"library {""hold"": 5, ""k"": 3, ""n"": 5}"
316,LIB_096,P_XS_MOM,FUT,-0.1498241161679907,-0.012386252990078598,0.2819891480539809,-0.09231431625084952,-0.8986384078741354,0.4166666666666667,(in-sample конфигурация) 2026-01..06: +10.2%,2026-07..09: -10.7%,"library {""hold"": 1, ""k"": 1, ""n"": 1}"
317,LIB_031,P_BUYHOLD,FUT,-0.14999015562479262,-0.01244507063264874,0.6283540607255418,-0.17380078718997538,-0.5271185066819344,0.6363636363636364,(in-sample конфигурация) 2026-01..06: -20.1%,2026-07..09: +4.6%,"library {""vn"": 60}"
318,LIB_219,P_XS_REV,EQ,-0.15023278457106645,-0.01187355671709156,0.2620495360533823,-0.09207416826393455,-0.7544904981907599,0.25,(in-sample конфигурация) 2026-01..06: -15.2%,2026-07..09: +4.4%,"library {""hold"": 5, ""k"": 2, ""n"": 20}"
319,LIB_233,P_XS_MOM,EQ,-0.1502918706867252,-0.011868286613753299,0.26280565741762985,-0.0825871147972066,-0.7165768292671753,0.3,(in-sample конфигурация) 2026-01..06: -9.8%,2026-07..09: -1.5%,"library {""hold"": 5, ""k"": 3, ""n"": 60}"
320,LIB_033,P_TSMOM,EQ,-0.1504909387058214,-0.012391614992642038,0.5279403159947833,-0.15550988051109016,-0.40985236544203635,0.4166666666666667,(in-sample конфигурация) 2026-01..06: +6.0%,2026-07..09: +13.0%,"library {""n"": 10, ""vn"": 20}"
321,LIB_220,P_XS_MOM,EQ,-0.15425770394790847,-0.012191663771015252,0.27809029136551544,-0.06296191635374271,-0.6757667853736317,0.3333333333333333,(in-sample конфигурация) 2026-01..06: -2.6%,2026-07..09: -3.9%,"library {""hold"": 1, ""k"": 3, ""n"": 20}"
322,LIB_393,P_TSMOM_L,ALL,-0.15569100651027046,-0.012918084955758373,0.40235579530417453,-0.13138728284684476,-0.6167883071558018,0.36363636363636365,(in-sample конфигурация) 2026-01..06: -8.5%,2026-07..09: -0.6%,"library {""n"": 5, ""vn"": 60}"
323,LIB_120,P_XS_MOM,FUT,-0.16023730900918598,-0.013247132027875827,0.381904875201144,-0.06180944771767827,-0.7369958528862846,0.25,(in-sample конфигурация) 2026-01..06: -3.5%,2026-07..09: +0.3%,"library {""hold"": 1, ""k"": 1, ""n"": 5}"
324,LIB_200,P_XS_MOM,EQ,-0.16189463903315482,-0.013384146745465841,0.3045185699575086,-0.05801863022497855,-0.8672409678379469,0.16666666666666666,(in-sample конфигурация) 2026-01..06: -2.0%,2026-07..09: -3.1%,"library {""hold"": 1, ""k"": 4, ""n"": 5}"
325,LIB_195,P_XS_REV,EQ,-0.16241084136120482,-0.013426822202480556,0.27846419296520253,-0.17955357756000012,-1.002368258114522,0.4166666666666667,(in-sample конфигурация) 2026-01..06: -19.7%,2026-07..09: +1.9%,"library {""hold"": 5, ""k"": 2, ""n"": 5}"
326,LIB_322,P_EMA_S,EQ,-0.16289609676908004,-0.013466939217020505,0.45486904282370233,-0.1148945036547957,-0.4462058382513505,0.3333333333333333,(in-sample конфигурация) 2026-01..06: +14.2%,2026-07..09: -3.5%,"library {""f"": 20, ""s"": 100, ""vn"": 20}"
327,LIB_381,P_EMA_L,ALL,-0.16405846061802,-0.013563034111939487,0.347285769872542,-0.11055807609227486,-0.7803285329500748,0.5833333333333334,(in-sample конфигурация) 2026-01..06: -20.1%,2026-07..09: +3.8%,"library {""f"": 20, ""s"": 100, ""vn"": 20}"
328,LIB_413,P_EMA_L,ALL,-0.16668707498457758,-0.013830457159615022,0.36306447139941156,-0.09925325459335,-0.8711240363614847,0.5454545454545454,(in-sample конфигурация) 2026-01..06: -18.0%,2026-07..09: -0.1%,"library {""f"": 50, ""s"": 200, ""vn"": 60}"
329,LIB_097,P_XS_MOM,FUT,-0.169645071994717,-0.014024890211203456,0.2389939298027457,-0.0929592524189502,-1.005704054673735,0.4166666666666667,(in-sample конфигурация) 2026-01..06: -0.8%,2026-07..09: +1.5%,"library {""hold"": 5, ""k"": 1, ""n"": 1}"
330,LIB_109,P_XS_MOM,FUT,-0.16989504852332174,-0.01404555626019525,0.2339566973496403,-0.08091292530298233,-0.9586758379446119,0.25,(in-sample конфигурация) 2026-01..06: +11.2%,2026-07..09: -14.1%,"library {""hold"": 5, ""k"": 1, ""n"": 3}"
