rank,strategy_id,family,instruments,profitable_month_ratio,min_monthly_return,median_monthly_return,monthly_return_std,max_drawdown,longest_losing_month_streak,walk_forward_result,holdout_result,evidence
30,LIB_101,P_XS_MOM,FUT,0.6666666666666666,-0.1417233650572598,0.01260067117982544,0.06043538133789238,0.1771958097415336,1.0,(in-sample конфигурация) 2026-01..06: +19.8%,2026-07..09: +3.6%,"library {""hold"": 5, ""k"": 2, ""n"": 1}"
31,LIB_105,P_XS_MOM,FUT,0.6666666666666666,-0.14301503852766473,0.02145039930474013,0.06446392651069019,0.21551555152109358,1.0,(in-sample конфигурация) 2026-01..06: +25.5%,2026-07..09: +4.7%,"library {""hold"": 5, ""k"": 3, ""n"": 1}"
32,LIB_076,P_BRK,ALL,0.6666666666666666,-0.15881268517114222,0.027038958849516348,0.10105595650282428,0.41673419601647765,1.0,(in-sample конфигурация) 2026-01..06: +29.8%,2026-07..09: +5.6%,"library {""n"": 10, ""vn"": 20}"
33,LIB_044,P_BRK,EQ,0.6666666666666666,-0.16796951065771282,0.014015962893608958,0.07328370140744145,0.4042783491750015,2.0,(in-sample конфигурация) 2026-01..06: +5.7%,2026-07..09: +0.8%,"library {""n"": 10, ""vn"": 20}"
34,LIB_111,P_XS_REV,FUT,0.6666666666666666,-0.183077800902538,0.020323048447608016,0.0647682685424435,0.2732746594992932,2.0,(in-sample конфигурация) 2026-01..06: -15.8%,2026-07..09: +11.7%,"library {""hold"": 5, ""k"": 1, ""n"": 3}"
35,C2_TREND_ALL_ENS,candidate,ALL/EQ,0.6363636363636364,-0.029693086912511244,0.0019003504070490137,0.02707661333583537,0.08140099040416393,2.0,"OOS 2026-01..06: Sharpe 1.65, +11.9%, прибыльных мес. 83%","2026-07..09: +1.2%, прибыльных мес. 67%","frozen candidate, vol-target 10%"
36,LIB_359,P_BRK_L,EQ,0.6363636363636364,-0.0372959176893346,0.006302235298790038,0.025682182204931094,0.1929072867933428,3.0,(in-sample конфигурация) 2026-01..06: -2.9%,2026-07..09: +3.0%,"library {""n"": 20, ""vn"": 60}"
37,LIB_329,P_BRK_L,EQ,0.6363636363636364,-0.04018826235551387,0.004879672545939684,0.025916232023801663,0.19830088067783436,3.0,(in-sample конфигурация) 2026-01..06: -4.1%,2026-07..09: +5.2%,"library {""n"": 20, ""vn"": 20}"
38,LIB_287,P_EMA_L,FUT,0.6363636363636364,-0.045392786734737456,0.004280706285499036,0.036683812056696255,0.12466480141301872,2.0,(in-sample конфигурация) 2026-01..06: +10.2%,2026-07..09: +4.4%,"library {""f"": 5, ""s"": 20, ""vn"": 60}"
39,LIB_297,P_BRK_L,FUT,0.6363636363636364,-0.045911315639386885,0.022704441100358963,0.03959547124463179,0.14332390853087418,2.0,(in-sample конфигурация) 2026-01..06: +10.5%,2026-07..09: +5.8%,"library {""n"": 10, ""vn"": 60}"
40,LIB_349,P_EMA_L,EQ,0.6363636363636364,-0.047049944589161896,0.005419987952336669,0.026355933535436842,0.19411607708025258,3.0,(in-sample конфигурация) 2026-01..06: -4.9%,2026-07..09: -1.6%,"library {""f"": 10, ""s"": 50, ""vn"": 60}"
41,LIB_059,P_BRK,EQ,0.6363636363636364,-0.0486358606867725,0.004288109252229333,0.0380258406484107,0.20179748395457864,2.0,(in-sample конфигурация) 2026-01..06: -1.4%,2026-07..09: +11.7%,"library {""n"": 5, ""vn"": 60}"
42,LIB_280,P_TSMOM_S,FUT,0.6363636363636364,-0.05496460388530977,0.006750853091944009,0.06076020545330031,0.17071956413565204,2.0,(in-sample конфигурация) 2026-01..06: +24.4%,2026-07..09: -0.1%,"library {""n"": 40, ""vn"": 60}"
43,LIB_061,P_BRK,EQ,0.6363636363636364,-0.060595067392569035,0.027841505652759224,0.060194238467726875,0.28091038670390844,3.0,(in-sample конфигурация) 2026-01..06: +26.8%,2026-07..09: +7.8%,"library {""n"": 20, ""vn"": 60}"
44,LIB_019,P_TSMOM,FUT,0.6363636363636364,-0.06661978106421884,0.01741133537143469,0.06369199133133614,0.16116203926503658,1.0,(in-sample конфигурация) 2026-01..06: +29.7%,2026-07..09: +4.4%,"library {""n"": 40, ""vn"": 60}"
45,LIB_419,P_BRK_L,ALL,0.6363636363636364,-0.06730089039774612,0.00578182129538618,0.03876452775178085,0.2265462898703845,3.0,(in-sample конфигурация) 2026-01..06: +3.2%,2026-07..09: +3.1%,"library {""n"": 20, ""vn"": 60}"
46,LIB_397,P_TSMOM_L,ALL,0.6363636363636364,-0.07484878465766087,0.01791116053937003,0.03828743027511761,0.16554824539616675,2.0,(in-sample конфигурация) 2026-01..06: +1.1%,2026-07..09: -1.4%,"library {""n"": 20, ""vn"": 60}"
47,LIB_249,P_TSMOM_L,FUT,0.6363636363636364,-0.07661469938466325,0.005200295912800357,0.038939629230191494,0.16227008424175438,2.0,(in-sample конфигурация) 2026-01..06: +0.2%,2026-07..09: +7.3%,"library {""n"": 40, ""vn"": 20}"
48,LIB_279,P_TSMOM_L,FUT,0.6363636363636364,-0.07758327177725732,0.009107546793529764,0.03966172050729718,0.16333124511584174,2.0,(in-sample конфигурация) 2026-01..06: +5.3%,2026-07..09: +4.6%,"library {""n"": 40, ""vn"": 60}"
49,LIB_003,P_TSMOM,FUT,0.6363636363636364,-0.08489658427424729,0.012555635417811573,0.07234230269772171,0.20705028528755065,2.0,(in-sample конфигурация) 2026-01..06: +23.4%,2026-07..09: +4.5%,"library {""n"": 40, ""vn"": 20}"
50,LIB_091,P_BRK,ALL,0.6363636363636364,-0.09115288945031352,0.017175641303765588,0.05672670018049882,0.24104600516147912,2.0,(in-sample конфигурация) 2026-01..06: +8.3%,2026-07..09: +8.3%,"library {""n"": 5, ""vn"": 60}"
51,LIB_411,P_EMA_L,ALL,0.6363636363636364,-0.09923063800670207,0.003486891888314858,0.043773431550252505,0.3081439109737403,4.0,(in-sample конфигурация) 2026-01..06: -14.1%,2026-07..09: +2.1%,"library {""f"": 20, ""s"": 100, ""vn"": 60}"
52,LIB_067,P_TSMOM,ALL,0.6363636363636364,-0.10676232044352219,0.022288245265372097,0.08347392085007162,0.2932469211227726,4.0,(in-sample конфигурация) 2026-01..06: +29.4%,2026-07..09: +7.7%,"library {""n"": 40, ""vn"": 20}"
53,LIB_022,P_EMA,FUT,0.6363636363636364,-0.10951848630793393,0.022431302699260414,0.08702421178859898,0.26103700132807717,2.0,(in-sample конфигурация) 2026-01..06: +26.7%,2026-07..09: +8.4%,"library {""f"": 3, ""s"": 10, ""vn"": 60}"
54,LIB_025,P_EMA,FUT,0.6363636363636364,-0.11185379943344742,0.010788031271658838,0.0592937199817454,0.19448645535157993,2.0,(in-sample конфигурация) 2026-01..06: +7.5%,2026-07..09: +1.9%,"library {""f"": 20, ""s"": 100, ""vn"": 60}"
55,LIB_086,P_EMA,ALL,0.6363636363636364,-0.12349274891312234,0.019932245602831244,0.08577122128463455,0.3694199752644636,2.0,(in-sample конфигурация) 2026-01..06: +20.2%,2026-07..09: +7.8%,"library {""f"": 3, ""s"": 10, ""vn"": 60}"
56,LIB_031,P_BUYHOLD,FUT,0.6363636363636364,-0.17380078718997538,0.014254234731197357,0.08192372377795398,0.6283540607255418,4.0,(in-sample конфигурация) 2026-01..06: -20.1%,2026-07..09: +4.6%,"library {""vn"": 60}"
57,LIB_332,P_BRK_S,EQ,0.625,-0.07660518572083674,0.04744166729506105,0.07044318888427804,0.27378244962892495,2.0,(in-sample конфигурация) 2026-01..06: +36.6%,2026-07..09: -2.9%,"library {""n"": 55, ""vn"": 20}"
58,LIB_052,P_TSMOM,EQ,0.6,-0.03544999338919297,0.011212547920877114,0.06252497961131738,0.31479231687262654,1.0,(in-sample конфигурация) 2026-01..06: +28.1%,2026-07..09: +2.6%,"library {""n"": 60, ""vn"": 60}"
59,LIB_229,P_XS_MOM,EQ,0.6,-0.054861731245182455,0.012063993606716394,0.03485434436118876,0.19338507810607553,2.0,(in-sample конфигурация) 2026-01..06: -0.3%,2026-07..09: +5.8%,"library {""hold"": 5, ""k"": 2, ""n"": 60}"
60,LIB_030,P_BRK,FUT,0.6,-0.07219739764695987,0.015680394441005774,0.05886657959762803,0.20186395083510433,2.0,(in-sample конфигурация) 2026-01..06: +9.6%,2026-07..09: -0.5%,"library {""n"": 55, ""vn"": 60}"
61,LIB_094,P_BRK,ALL,0.6,-0.08321267669089139,0.01806950429454446,0.06887777342336254,0.3389998816419393,2.0,(in-sample конфигурация) 2026-01..06: +26.5%,2026-07..09: +0.3%,"library {""n"": 55, ""vn"": 60}"
62,LIB_068,P_TSMOM,ALL,0.6,-0.09145098114095163,0.011282485953415744,0.09637518355787503,0.2751849796040915,2.0,(in-sample конфигурация) 2026-01..06: +27.4%,2026-07..09: -1.9%,"library {""n"": 60, ""vn"": 20}"
63,LIB_252,P_TSMOM_S,FUT,0.6,-0.1328011289006099,0.014347690739668906,0.08023241963534243,0.1904349523683777,2.0,(in-sample конфигурация) 2026-01..06: +17.4%,2026-07..09: -6.3%,"library {""n"": 60, ""vn"": 20}"
64,LIB_004,P_TSMOM,FUT,0.6,-0.1566492573369942,0.01129615651734639,0.08966373548656321,0.32158655499233646,3.0,(in-sample конфигурация) 2026-01..06: +11.8%,2026-07..09: -2.3%,"library {""n"": 60, ""vn"": 20}"
65,LIB_257,P_EMA_L,FUT,0.5833333333333334,-0.04549938510172069,0.0031365732138510793,0.03505584654665462,0.12438817064685281,2.0,(in-sample конфигурация) 2026-01..06: +5.7%,2026-07..09: +7.2%,"library {""f"": 5, ""s"": 20, ""vn"": 20}"
