rank,strategy_id,family,instruments,timeframe,avg_monthly_return,median_monthly_return,min_monthly_return,profitable_month_ratio,annual_return,max_drawdown,profit_factor,sharpe,sortino,calmar,trades,walk_forward_result,holdout_result,evidence
397,LIB_184,P_XS_MOM,EQ,1d,-0.022657812859354937,-0.0150256478736992,-0.09935069811763242,0.25,-0.2740689043467573,0.3674289716018393,0.7264808034996005,-1.64230551704071,-2.1727292090115307,-0.7459098915143504,250.0,(in-sample конфигурация) 2026-01..06: -23.5%,2026-07..09: +3.6%,"library {""hold"": 1, ""k"": 3, ""n"": 3}"
398,LIB_206,P_XS_REV,EQ,1d,-0.034849975812600555,-0.026805175963090733,-0.15226422960404307,0.3333333333333333,-0.42323826047110075,0.45088273867804674,0.6076386416976958,-2.785421160079093,-3.352988658337795,-0.9386880981782593,249.0,(in-sample конфигурация) 2026-01..06: -36.1%,2026-07..09: -3.0%,"library {""hold"": 1, ""k"": 2, ""n"": 10}"
399,LIB_199,P_XS_REV,EQ,1d,-0.03284094287528205,-0.017370365269016474,-0.21754833904560655,0.3333333333333333,-0.39724404501941174,0.44381536995933857,0.6395844857047732,-2.4256906259895326,-3.002084280569784,-0.8950659934463433,250.0,(in-sample конфигурация) 2026-01..06: -34.0%,2026-07..09: -0.5%,"library {""hold"": 5, ""k"": 3, ""n"": 5}"
400,LIB_179,P_XS_REV,EQ,1d,-0.05028469951957959,-0.037831849040230736,-0.15670284914085642,0.25,-0.6082437253888348,0.6286312109114078,0.47686706247129224,-3.966627154368267,-4.420734680075757,-0.9675684484500623,250.0,(in-sample конфигурация) 2026-01..06: -53.3%,2026-07..09: +1.4%,"library {""hold"": 5, ""k"": 4, ""n"": 1}"
401,LIB_373,P_TSMOM_L,ALL,1d,-0.05066514492292689,-0.06246693938737735,-0.11874737613834441,0.2857142857142857,-0.6429734938420363,0.4023138442862546,0.5181611622127199,-3.553022895150624,-3.999492560908532,-1.5981888343483088,139.0,(in-sample конфигурация) 2026-01..06: -38.9%,2026-07..09: +3.4%,"library {""n"": 120, ""vn"": 20}"
402,LIB_224,P_XS_MOM,EQ,1d,-0.018027983083698018,-0.013278160684421891,-0.08835006580784466,0.25,-0.22810301608829628,0.27087319967404255,0.7801964749203198,-1.086711886289566,-1.2357075659699255,-0.8421025644574136,239.0,(in-sample конфигурация) 2026-01..06: -10.0%,2026-07..09: -7.0%,"library {""hold"": 1, ""k"": 4, ""n"": 20}"
403,LIB_118,P_XS_REV,FUT,1d,-0.034356994847864065,-0.03145075935753994,-0.18543254214455374,0.25,-0.4155822096797638,0.5214447797188768,0.7399918574180127,-1.798459082103712,-2.319734069998201,-0.7969822037605093,246.0,(in-sample конфигурация) 2026-01..06: -33.4%,2026-07..09: -4.6%,"library {""hold"": 1, ""k"": 3, ""n"": 3}"
404,LIB_239,P_XS_REV,EQ,1d,-0.0321192738559148,-0.04879217738925945,-0.075023098870588,0.2,-0.40673653325078035,0.3264916175558028,0.6860299721164484,-1.8852322793207523,-2.95277282356553,-1.2457794055961096,199.0,(in-sample конфигурация) 2026-01..06: -25.8%,2026-07..09: -5.3%,"library {""hold"": 5, ""k"": 4, ""n"": 60}"
405,LIB_235,P_XS_REV,EQ,1d,-0.025603471207523397,-0.0338753965406795,-0.0719473637336705,0.1,-0.32422486152240687,0.26458266645295225,0.7326111915978222,-1.5495509224121515,-2.3978355153123814,-1.2254198881167453,199.0,(in-sample конфигурация) 2026-01..06: -20.2%,2026-07..09: -4.3%,"library {""hold"": 5, ""k"": 3, ""n"": 60}"
406,LIB_403,P_TSMOM_L,ALL,1d,-0.045560742701387165,-0.06350079116236884,-0.10277539596427232,0.2857142857142857,-0.5781953246420645,0.3591178167407634,0.5281697481772711,-3.4072654877608204,-3.870453957945876,-1.6100435503021748,139.0,(in-sample конфигурация) 2026-01..06: -34.3%,2026-07..09: +2.4%,"library {""n"": 120, ""vn"": 60}"
407,LIB_181,P_XS_MOM,EQ,1d,-0.024339200056753423,-0.023043558539939113,-0.08877026321715675,0.16666666666666666,-0.29440696388648935,0.29207040068104106,0.6929333285620146,-2.023520610599405,-2.5385376129648387,-1.0079999999999998,250.0,(in-sample конфигурация) 2026-01..06: -10.8%,2026-07..09: -11.7%,"library {""hold"": 5, ""k"": 2, ""n"": 3}"
