family,tf,cls,configs,ic_mean,ic_pos_months,top_minus_bottom,ens_oos_mean,ens_pos_months,ens_202601,ens_202602,ens_202603,ens_202604,ens_202605,ens_202606
V_RANGE_EXP,3,EQ,1296,0.8922284043782374,6,42.59693415739267,-16.427110375042357,0,-14.903011158117138,-15.227039072744375,-15.626515216159,-17.023564762852462,-17.28428591729774,-18.49824612308342
U_OBV,3,FUT,648,0.8913862782872792,6,37.063075337010275,-14.620193637448287,0,-12.837753549345193,-15.441606541140949,-15.130482790632733,-14.879525891451646,-14.27326408896174,-15.15852896315745
T_EMA_X,2,EQ,3672,0.89111639411758,6,38.028924949413316,-16.36054942218379,0,-16.405195080579176,-15.293598378705651,-15.350229516242097,-16.661624092211266,-17.915805687562973,-16.536843777801586
T_HMA,3,FUT,1620,0.8897904182426938,6,44.65300305716985,-15.105708886035401,0,-13.44129333018439,-15.109650848051807,-16.072664691677502,-15.652446667218557,-15.126816469110683,-15.231381309969473
M_ROC_VOTE,3,FUT,2592,0.8854735934164824,6,32.82049465925111,-19.755238311210316,0,-18.141203423225992,-20.81519518655225,-19.988336111377986,-20.364343935334333,-20.86970255546443,-18.352648655306915
V_SQUEEZE,1,FUT,2592,0.8841074655638318,6,37.703422533959966,-27.820545464873295,0,-24.85756931156421,-27.306616867703944,-26.983169827012503,-29.53039769017624,-27.099687890757902,-31.145831202024954
I_OVERNIGHT,1,FUT,144,0.883278387542047,6,50.745602303172,-22.421937518363634,0,-21.698981747090684,-21.177225570997823,-23.737995711259906,-22.655954128786977,-21.72926160271667,-23.53220634932975
T_MTF,2,FUT,2592,0.8829529963119769,6,37.777791557784376,-20.607196938020696,0,-18.87461187488512,-21.941286228436933,-20.60950197159964,-22.457338633643168,-20.52772257983058,-19.23272033972874
T_PRICE_MA,3,FUT,3240,0.882153937013315,6,38.31010732719641,-20.522071499153608,0,-17.98807703857876,-22.08254307164429,-20.685967229503287,-21.8014036147176,-20.451994697589203,-20.1224433428885
M_ACCEL,5,FUT,1296,0.8820410811736948,6,31.838060319932435,-19.107495833036943,0,-16.32875452983736,-19.214835341553922,-20.816708495015426,-20.010758487117016,-19.1959510780362,-19.077967066661728
R_MA_DEV,2,FUT,2916,0.8819502616329703,6,49.826706557480605,-25.584215696804637,0,-23.990079909472378,-22.17664139516958,-28.08524083703297,-27.128749997567475,-25.03370704424264,-27.090874997342766
R_MA_DEV,3,EQ,1944,0.8816033965596924,6,49.35152570289057,-23.189339519375196,0,-20.461663837631498,-19.662578136844587,-24.13311037493487,-24.074032687435317,-23.269921358797664,-27.534730720607254
R_EXTREME,2,EQ,2592,0.8792674188931043,6,46.3996450953619,-18.318608629381437,0,-16.48851918359931,-14.076590544008962,-18.940607182469527,-19.442901396553022,-18.479869834822882,-22.483163634834924
R_BB_LIMIT,5,EQ,1944,0.8786502072640451,6,37.43707355255067,-20.8494666123652,0,-17.50786023618923,-16.73743108533978,-22.36884244737477,-22.43113958186673,-21.17142614315189,-24.8801001802688
T_KELTNER,2,FUT,2916,0.8769839082583452,6,35.47038567559974,-22.46098631503421,0,-20.18909859174699,-22.623648420326678,-23.017453726805027,-24.066008164410757,-22.442893092249136,-22.42681589466665
T_DONCH,3,FUT,1620,0.876573003943033,6,32.61426398875171,-15.055175369531076,0,-13.119959406216589,-16.63099955987976,-16.44118747440693,-15.543328391768066,-14.56787142585119,-14.027705959063915
I_OVERNIGHT,1,EQ,96,0.8739130434782609,6,31.62271212143796,-43.516253071836076,0,-42.04269255482583,-40.726002328861846,-44.18302275394621,-44.56786438961365,-43.17436056083066,-46.403575842938245
U_SIGNED_VOL,5,EQ,2592,0.8699287044197185,6,40.28284862428471,-16.180949456438615,0,-15.669318026224948,-15.186943719724303,-16.01014838131715,-16.2593364657848,-16.516755495505695,-17.4431946500748
